Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
48278;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
48393;Wixom;MI;42.532251;-83.53378;-5;1;42.532251,-83.53378
48851;Lyons;MI;42.962965;-84.94611;-5;1;42.962965,-84.94611
49022;Benton Harbor;MI;42.10809;-86.41801;-5;1;42.10809,-86.41801
48089;Warren;MI;42.467086;-82.99866;-5;1;42.467086,-82.99866
49078;Otsego;MI;42.459989;-85.71069;-5;1;42.459989,-85.71069
49094;Union City;MI;42.06137;-85.11971;-5;1;42.06137,-85.11971
48118;Chelsea;MI;42.316922;-84.03445;-5;1;42.316922,-84.03445
48918;Lansing;MI;42.599184;-84.371973;-5;1;42.599184,-84.371973
49683;Thompsonville;MI;44.531456;-85.9334;-5;1;44.531456,-85.9334
48275;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
48757;Reese;MI;43.462775;-83.68564;-5;1;43.462775,-83.68564
49256;Morenci;MI;41.746349;-84.21557;-5;1;41.746349,-84.21557
49509;Grand Rapids;MI;42.905877;-85.70392;-5;1;42.905877,-85.70392
48309;Rochester;MI;42.662732;-83.18111;-5;1;42.662732,-83.18111
48162;Monroe;MI;41.940898;-83.38515;-5;1;41.940898,-83.38515
49778;Brimley;MI;46.410777;-84.336519;-5;1;46.410777,-84.336519
48743;Long Lake;MI;44.442563;-83.87538;-5;1;44.442563,-83.87538
48855;Howell;MI;42.678059;-83.915592;-5;1;42.678059,-83.915592
49753;Lachine;MI;44.99718;-83.7918;-5;1;44.99718,-83.7918
48831;Elsie;MI;43.098253;-84.37722;-5;1;43.098253,-84.37722
49743;Hawks;MI;45.282088;-83.93526;-5;1;45.282088,-83.93526
48217;Detroit;MI;42.277738;-83.1552;-5;1;42.277738,-83.1552
49799;Wolverine;MI;45.268255;-84.60141;-5;1;45.268255,-84.60141
49735;Gaylord;MI;44.989608;-84.67492;-5;1;44.989608,-84.67492
48073;Royal Oak;MI;42.518635;-83.16357;-5;1;42.518635,-83.16357
48611;Auburn;MI;43.617796;-84.07918;-5;1;43.617796,-84.07918
48842;Holt;MI;42.639235;-84.52702;-5;1;42.639235,-84.52702
49423;Holland;MI;42.765918;-86.10544;-5;1;42.765918,-86.10544
49406;Douglas;MI;42.643315;-86.20404;-5;1;42.643315,-86.20404
48146;Lincoln Park;MI;42.243488;-83.18097;-5;1;42.243488,-83.18097
48092;Warren;MI;42.511293;-83.0597;-5;1;42.511293,-83.0597
49265;Onsted;MI;42.020199;-84.16796;-5;1;42.020199,-84.16796
49746;Hillman;MI;45.068394;-83.96071;-5;1;45.068394,-83.96071
49599;Grand Rapids;MI;43.031413;-85.550267;-5;1;43.031413,-85.550267
48848;Laingsburg;MI;42.884921;-84.3569;-5;1;42.884921,-84.3569
49712;Boyne City;MI;45.215511;-85.00995;-5;1;45.215511,-85.00995
49780;Rudyard;MI;46.204512;-84.73671;-5;1;46.204512,-84.73671
49107;Buchanan;MI;41.830011999999996;-86.38349;-5;1;41.830012,-86.38349
49640;Honor;MI;44.701761;-86.05033;-5;1;44.701761,-86.05033
48076;Southfield;MI;42.499335;-83.22829;-5;1;42.499335,-83.22829
48074;Smiths Creek;MI;42.948521;-82.57049;-5;1;42.948521,-82.57049
49781;Saint Ignace;MI;45.923952;-84.7255;-5;1;45.923952,-84.7255
49786;Kincheloe;MI;46.410777;-84.336519;-5;1;46.410777,-84.336519
48854;Mason;MI;42.582902;-84.44738;-5;1;42.582902,-84.44738
49854;Manistique;MI;46.042121;-86.33946;-5;1;46.042121,-86.33946
48602;Saginaw;MI;43.423925;-83.97142;-5;1;43.423925,-83.97142
48045;Harrison Township;MI;42.582961;-82.83063;-5;1;42.582961,-82.83063
48221;Detroit;MI;42.426786;-83.14969;-5;1;42.426786,-83.14969
48881;Saranac;MI;42.929829;-85.20938;-5;1;42.929829,-85.20938
49075;Nottawa;MI;41.916374;-85.45029;-5;1;41.916374,-85.45029
49066;Leonidas;MI;42.037422;-85.35683;-5;1;42.037422,-85.35683
48346;Clarkston;MI;42.720966;-83.4044;-5;1;42.720966,-83.4044
49070;Martin;MI;42.540492;-85.63686;-5;1;42.540492,-85.63686
48228;Detroit;MI;42.355437;-83.21722;-5;1;42.355437,-83.21722
48305;Clinton;MI;42.569278;-82.911243;-5;1;42.569278,-82.911243
49917;Copper City;MI;47.283086;-88.38434;-5;1;47.283086,-88.38434
49242;Hillsdale;MI;41.89958;-84.62624;-5;1;41.89958,-84.62624
49564;Glen Arbor;MI;44.933988;-85.950661;-5;1;44.933988,-85.950661
49728;Eckerman;MI;46.355548;-84.99249;-5;1;46.355548,-84.99249
48359;Lake Orion;MI;42.722932;-83.28537;-5;1;42.722932,-83.28537
48650;Pinconning;MI;43.851276;-83.97901;-5;1;43.851276,-83.97901
49659;Mancelona;MI;44.905437;-85.03401;-5;1;44.905437,-85.03401
49948;Mass City;MI;46.730077;-89.02038;-5;1;46.730077,-89.02038
48136;Garden City;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
49820;Curtis;MI;46.191702;-85.72148;-5;1;46.191702,-85.72148
48266;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
49095;Vandalia;MI;41.916613;-85.89022;-5;1;41.916613,-85.89022
48175;Salem;MI;42.405636;-83.578088;-5;1;42.405636,-83.578088
48184;Wayne;MI;42.276688;-83.3786;-5;1;42.276688,-83.3786
48432;Filion;MI;43.89867;-83.01232;-5;1;43.89867,-83.01232
48140;Ida;MI;41.876895;-83.58184;-5;1;41.876895,-83.58184
48260;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
49137;Lyndon;MI;42.424092;-84.102395;-5;1;42.424092,-84.102395
49686;Traverse City;MI;44.735559;-85.54511;-5;1;44.735559,-85.54511
48223;Detroit;MI;42.394586;-83.24422;-5;1;42.394586,-83.24422
48440;Hadley;MI;42.952899;-83.40536;-5;1;42.952899,-83.40536
48423;Davison;MI;43.029526;-83.5218;-5;1;43.029526,-83.5218
49001;Kalamazoo;MI;42.278891;-85.55107;-5;1;42.278891,-85.55107
48135;Garden City;MI;42.324338;-83.3382;-5;1;42.324338,-83.3382
48265;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
49169;Dickson;MI;44.30476;-86.015026;-5;1;44.30476,-86.015026
49249;Jerome;MI;42.048979;-84.4396;-5;1;42.048979,-84.4396
48519;Burton;MI;42.984777;-83.61155;-5;1;42.984777,-83.61155
49322;Coral;MI;43.368957;-85.37282;-5;1;43.368957,-85.37282
49401;Allendale;MI;42.973667;-85.9318;-5;1;42.973667,-85.9318
49230;Brooklyn;MI;42.089891;-84.22768;-5;1;42.089891,-84.22768
48190;Whittaker;MI;42.134658;-83.59684;-5;1;42.134658,-83.59684
48501;Flint;MI;42.965926;-83.780835;-5;1;42.965926,-83.780835
49725;De Tour Village;MI;45.992931;-83.98087;-5;1;45.992931,-83.98087
49775;Pointe Aux Pins;MI;45.758378;-84.46507;-5;1;45.758378,-84.46507
49744;Herron;MI;44.993111;-83.65723;-5;1;44.993111,-83.65723
48246;Independence;MI;42.712944;-83.348152;-5;1;42.712944,-83.348152
49039;Hagar Shores;MI;42.224757;-86.372276;-5;1;42.224757,-86.372276
49096;Vermontville;MI;42.63222;-85.01188;-5;1;42.63222,-85.01188
48321;Auburn Hills;MI;42.660091;-83.3863;-5;1;42.660091,-83.3863
48059;Fort Gratiot;MI;43.088742;-82.48614;-5;1;43.088742,-82.48614
49688;Tustin;MI;44.117243;-85.43612;-5;1;44.117243,-85.43612
48017;Clawson;MI;42.535534;-83.15112;-5;1;42.535534,-83.15112
48416;Brown City;MI;43.214645;-82.98356;-5;1;43.214645,-82.98356
48823;East Lansing;MI;42.747922;-84.47143;-5;1;42.747922,-84.47143
48703;Au Gres;MI;44.06434;-83.65821;-5;1;44.06434,-83.65821
48067;Royal Oak;MI;42.488735;-83.13752;-5;1;42.488735,-83.13752
49046;Delton;MI;42.504149;-85.39257;-5;1;42.504149,-85.39257
49816;Chatham;MI;46.323845;-86.90766;-5;1;46.323845,-86.90766
48075;Southfield;MI;42.465275;-83.2264;-5;1;42.465275,-83.2264
49238;Deerfield;MI;41.910884;-83.78699;-5;1;41.910884,-83.78699
48209;Detroit;MI;42.307088;-83.11467;-5;1;42.307088,-83.11467
49420;Hart;MI;43.708002;-86.30604;-5;1;43.708002,-86.30604
49908;Baraga;MI;46.795417;-88.52645;-5;1;46.795417,-88.52645
48195;Southgate;MI;42.205289;-83.19812;-5;1;42.205289,-83.19812
48348;Clarkston;MI;42.768373;-83.37805;-5;1;42.768373,-83.37805
48607;Saginaw;MI;43.431375;-83.93267;-5;1;43.431375,-83.93267
48134;Flat Rock;MI;42.107026;-83.28711;-5;1;42.107026,-83.28711
49005;Kalamazoo;MI;42.323045;-85.493232;-5;1;42.323045,-85.493232
49638;Harrietta;MI;44.30192;-85.75597;-5;1;44.30192,-85.75597
49866;Negaunee;MI;46.517192;-87.58245;-5;1;46.517192,-87.58245
48235;Detroit;MI;42.427636;-83.19547;-5;1;42.427636,-83.19547
49706;Alanson;MI;45.431122;-84.77654;-5;1;45.431122,-84.77654
49894;Wells;MI;45.778066;-87.07647;-5;1;45.778066,-87.07647
49636;Glen Arbor;MI;44.884904;-85.98588;-5;1;44.884904,-85.98588
49853;McMillan;MI;46.301265;-85.72321;-5;1;46.301265,-85.72321
48438;Goodrich;MI;42.911611;-83.48421;-5;1;42.911611,-83.48421
48179;South Rockwood;MI;42.049534;-83.26128;-5;1;42.049534,-83.26128
48813;Charlotte;MI;42.580076;-84.8228;-5;1;42.580076,-84.8228
49611;Alba;MI;44.976915;-84.97282;-5;1;44.976915,-84.97282
49715;Brimley;MI;46.411782;-84.66502;-5;1;46.411782,-84.66502
48631;Kawkawlin;MI;43.67579;-83.97973;-5;1;43.67579,-83.97973
49115;Harbert;MI;41.876483;-86.63715;-5;1;41.876483,-86.63715
49266;Osseo;MI;41.844894;-84.55244;-5;1;41.844894,-84.55244
49755;Levering;MI;45.631602;-84.79103;-5;1;45.631602,-84.79103
48567;Flint;MI;42.993102;-83.655654;-5;1;42.993102,-83.655654
48833;Eureka;MI;42.944209;-84.600723;-5;1;42.944209,-84.600723
48880;Saint Louis;MI;43.422397;-84.60041;-5;1;43.422397,-84.60041
49035;Cloverdale;MI;42.595121;-85.308555;-5;1;42.595121,-85.308555
49421;Hesperia;MI;43.595939;-86.0865;-5;1;43.595939,-86.0865
49733;Frederic;MI;44.809476;-84.71727;-5;1;44.809476,-84.71727
48728;Curran;MI;44.746486;-83.83882;-5;1;44.746486,-83.83882
48030;Hazel Park;MI;42.459022;-83.09819;-5;1;42.459022,-83.09819
48841;Henderson;MI;43.104499;-84.23568;-5;1;43.104499,-84.23568
49332;Mecosta;MI;43.623053;-85.25883;-5;1;43.623053,-85.25883
48550;Flint;MI;43.034927;-83.688706;-5;1;43.034927,-83.688706
48864;Okemos;MI;42.702128;-84.41946;-5;1;42.702128,-84.41946
49125;Sawyer;MI;41.890521;-86.59362;-5;1;41.890521,-86.59362
49458;Walhalla;MI;43.945299;-86.11684;-5;1;43.945299,-86.11684
48612;Beaverton;MI;43.87787;-84.42078;-5;1;43.87787,-84.42078
48082;Saint Clair Shores;MI;42.526965;-82.88809;-5;1;42.526965,-82.88809
48168;South Monroe;MI;41.885451;-83.418524;-5;1;41.885451,-83.418524
48637;Merrill;MI;43.410627;-84.33926;-5;1;43.410627,-84.33926
48336;Farmington;MI;42.458502;-83.3464;-5;1;42.458502,-83.3464
48323;West Bloomfield;MI;42.572442;-83.37159;-5;1;42.572442,-83.37159
48154;Livonia;MI;42.396194;-83.37161;-5;1;42.396194,-83.37161
48553;Flint;MI;42.973627;-83.720306;-5;1;42.973627,-83.720306
49961;Sidnaw;MI;46.469552;-88.73659;-5;1;46.469552,-88.73659
48043;Mount Clemens;MI;42.596784;-82.88031;-5;1;42.596784,-82.88031
48386;White Lake;MI;42.642431;-83.47193;-5;1;42.642431,-83.47193
49891;Trenary;MI;46.229173;-87.01715;-5;1;46.229173,-87.01715
48255;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
48371;Oxford;MI;42.823968;-83.27921;-5;1;42.823968,-83.27921
49282;Somerset Center;MI;42.050628;-84.39902;-5;1;42.050628,-84.39902
49825;Eben Junction;MI;46.364487;-86.98096;-5;1;46.364487,-86.98096
49548;Grand Rapids;MI;42.868228;-85.66391;-5;1;42.868228,-85.66391
49445;Muskegon;MI;43.278021;-86.2682;-5;1;43.278021,-86.2682
49963;South Range;MI;47.069257;-88.63936;-5;1;47.069257,-88.63936
48652;Rhodes;MI;43.862479;-84.19641;-5;1;43.862479,-84.19641
48807;Bannister;MI;43.145475;-84.41579;-5;1;43.145475,-84.41579
49268;Palmyra;MI;41.869086;-83.93858;-5;1;41.869086,-83.93858
48036;Clinton Township;MI;42.587117;-82.89837;-5;1;42.587117,-82.89837
48050;New Haven;MI;42.786198;-82.8092;-5;1;42.786198,-82.8092
48022;Emmett;MI;43.013805;-82.79404;-5;1;43.013805,-82.79404
48670;Midland;MI;43.637471;-84.256758;-5;1;43.637471,-84.256758
49946;Lanse;MI;46.766303;-88.37867;-5;1;46.766303,-88.37867
48091;Warren;MI;42.465886;-83.056;-5;1;42.465886,-83.056
49660;Manistee;MI;44.234322;-86.27234;-5;1;44.234322,-86.27234
48551;Flint;MI;42.978995;-83.713124;-5;1;42.978995,-83.713124
48101;Allen Park;MI;42.254788;-83.21027;-5;1;42.254788,-83.21027
49235;Clayton;MI;41.853441;-84.20769;-5;1;41.853441,-84.20769
48161;Monroe;MI;41.904793;-83.41669;-5;1;41.904793,-83.41669
48322;West Bloomfield;MI;42.541268;-83.37551;-5;1;42.541268,-83.37551
49031;Cassopolis;MI;41.907837;-85.98937;-5;1;41.907837,-85.98937
48213;Detroit;MI;42.395904;-82.99632;-5;1;42.395904,-82.99632
48801;Alma;MI;43.377113;-84.66256;-5;1;43.377113,-84.66256
48244;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
49234;Clarklake;MI;42.121774;-84.36382;-5;1;42.121774,-84.36382
49085;Saint Joseph;MI;42.074435;-86.47935;-5;1;42.074435,-86.47935
48063;Columbus;MI;42.85452;-82.68244;-5;1;42.85452,-82.68244
48334;Farmington;MI;42.5065;-83.35363;-5;1;42.5065,-83.35363
48380;Milford;MI;42.586597;-83.66826;-5;1;42.586597,-83.66826
49315;Byron Center;MI;42.802932;-85.72542;-5;1;42.802932,-85.72542
48191;Willis;MI;42.121345;-83.57071;-5;1;42.121345,-83.57071
48554;Flint;MI;42.972244;-83.79463;-5;1;42.972244,-83.79463
48906;Lansing;MI;42.764167;-84.56153;-5;1;42.764167,-84.56153
48859;Mount Pleasant;MI;43.564736;-84.847297;-5;1;43.564736,-84.847297
49026;Bloomingdale;MI;42.371729;-85.9679;-5;1;42.371729,-85.9679
49091;Sturgis;MI;41.822244;-85.43234;-5;1;41.822244,-85.43234
49067;Marcellus;MI;42.026876;-85.8033;-5;1;42.026876,-85.8033
49314;Burnips;MI;42.731193;-85.840372;-5;1;42.731193,-85.840372
49410;Fountain;MI;44.016249;-86.14028;-5;1;44.016249,-86.14028
49418;Grandville;MI;42.891709;-85.76466;-5;1;42.891709,-85.76466
49457;Twin Lake;MI;43.360182;-86.18835;-5;1;43.360182,-86.18835
48124;Dearborn;MI;42.294987;-83.25049;-5;1;42.294987,-83.25049
49226;Bloomingdale;MI;42.379469;-85.976841;-5;1;42.379469,-85.976841
49503;Grand Rapids;MI;42.964176;-85.65885;-5;1;42.964176,-85.65885
48887;Smyrna;MI;42.944929;-85.074665;-5;1;42.944929,-85.074665
49648;Kewadin;MI;45.000254;-85.3651;-5;1;45.000254,-85.3651
49007;Kalamazoo;MI;42.29714;-85.58573;-5;1;42.29714,-85.58573
48157;Luna Pier;MI;41.811196;-83.44141;-5;1;41.811196,-83.44141
49656;Luther;MI;44.05505;-85.69759;-5;1;44.05505,-85.69759
48563;Markey;MI;44.407339;-84.695963;-5;1;44.407339,-84.695963
49440;Muskegon;MI;43.234014;-86.25131;-5;1;43.234014,-86.25131
49014;Battle Creek;MI;42.311089;-85.13845;-5;1;42.311089,-85.13845
48466;Peck;MI;43.264205;-82.81674;-5;1;43.264205,-82.81674
48901;Lansing;MI;42.599184;-84.371973;-5;1;42.599184,-84.371973
49705;Afton;MI;45.355074;-84.47898;-5;1;45.355074,-84.47898
49958;Pelkie;MI;46.830728;-88.65751;-5;1;46.830728,-88.65751
48105;Ann Arbor;MI;42.307288;-83.70443;-5;1;42.307288,-83.70443
49093;Three Rivers;MI;41.958306;-85.63829;-5;1;41.958306,-85.63829
49685;Traverse City;MI;44.816178;-85.575147;-5;1;44.816178,-85.575147
48412;Attica;MI;43.053648;-83.16651;-5;1;43.053648,-83.16651
48875;Portland;MI;42.864338;-84.91289;-5;1;42.864338,-84.91289
48435;Fostoria;MI;43.239123;-83.36195;-5;1;43.239123,-83.36195
49424;Holland;MI;42.823232;-86.12726;-5;1;42.823232,-86.12726
48061;Port Huron;MI;42.824095;-82.66522;-5;1;42.824095,-82.66522
49441;Muskegon;MI;43.199364;-86.2668;-5;1;43.199364,-86.2668
49808;Big Bay;MI;46.650313;-87.86241;-5;1;46.650313,-87.86241
48740;Harrisville;MI;44.663477;-83.3516;-5;1;44.663477,-83.3516
48556;Flint;MI;43.032677;-83.646255;-5;1;43.032677,-83.646255
49130;Union;MI;41.787096;-85.83605;-5;1;41.787096,-85.83605
49302;Alto;MI;42.834137;-85.41889;-5;1;42.834137,-85.41889
49098;Watervliet;MI;42.186679;-86.25718;-5;1;42.186679,-86.25718
48729;Deford;MI;43.492259;-83.17874;-5;1;43.492259,-83.17874
49074;Nazareth;MI;42.245412;-85.529858;-5;1;42.245412,-85.529858
49272;Pleasant Lake;MI;42.398355;-84.34471;-5;1;42.398355,-84.34471
49695;Custer;MI;44.918887;-85.131606;-5;1;44.918887,-85.131606
48555;Flint;MI;43.011277;-83.710756;-5;1;43.011277,-83.710756
49515;Grand Rapids;MI;43.031413;-85.550267;-5;1;43.031413,-85.550267
48755;Pigeon;MI;43.85672;-83.28557;-5;1;43.85672,-83.28557
48924;Lansing;MI;42.599184;-84.371973;-5;1;42.599184,-84.371973
49601;Cadillac;MI;44.243788;-85.46006;-5;1;44.243788,-85.46006
48035;Clinton Township;MI;42.554134;-82.90786;-5;1;42.554134,-82.90786
48072;Berkley;MI;42.497035;-83.18532;-5;1;42.497035,-83.18532
48122;Melvindale;MI;42.281638;-83.18188;-5;1;42.281638,-83.18188
48304;Bloomfield Hills;MI;42.586677;-83.22956;-5;1;42.586677,-83.22956
48187;Canton;MI;42.33087;-83.47575;-5;1;42.33087,-83.47575
49748;Hulbert;MI;46.340461;-85.16591;-5;1;46.340461,-85.16591
49827;Engadine;MI;46.156073;-85.57069;-5;1;46.156073,-85.57069
49436;Mears;MI;43.678258;-86.46576;-5;1;43.678258,-86.46576
48083;Troy;MI;42.556943;-83.11506;-5;1;42.556943,-83.11506
49042;Constantine;MI;41.847413;-85.66411;-5;1;41.847413,-85.66411
49055;Gobles;MI;42.37346;-85.85725;-5;1;42.37346,-85.85725
48367;Leonard;MI;42.838438;-83.14416;-5;1;42.838438,-83.14416
49411;Free Soil;MI;44.100701;-86.2662;-5;1;44.100701,-86.2662
49053;Galesburg;MI;42.289991;-85.41657;-5;1;42.289991,-85.41657
48878;Rosebush;MI;43.713365;-84.77731;-5;1;43.713365,-84.77731
49616;Benzonia;MI;44.592766;-86.08323;-5;1;44.592766,-86.08323
48721;Black River;MI;44.79652;-83.32907;-5;1;44.79652,-83.32907
48916;Lansing;MI;42.599184;-84.371973;-5;1;42.599184,-84.371973
49449;Pentwater;MI;43.791699;-86.40276;-5;1;43.791699,-86.40276
49924;Houghton;MI;47.414054;-88.297959;-5;1;47.414054,-88.297959
49404;Coopersville;MI;43.06507;-85.94516;-5;1;43.06507,-85.94516
49777;Presque Isle;MI;45.311011;-83.49878;-5;1;45.311011,-83.49878
49544;Grand Rapids;MI;42.999561;-85.75371;-5;1;42.999561,-85.75371
49057;Hartford;MI;42.19923;-86.16943;-5;1;42.19923,-86.16943
48430;Fenton;MI;42.78459;-83.74074;-5;1;42.78459,-83.74074
49274;Reading;MI;41.843254;-84.75263;-5;1;41.843254,-84.75263
49016;Battle Creek;MI;42.34381;-85.29136;-5;1;42.34381,-85.29136
49518;Grand Rapids;MI;43.031413;-85.550267;-5;1;43.031413,-85.550267
48182;Temperance;MI;41.773203;-83.57793;-5;1;41.773203,-83.57793
49229;Britton;MI;41.991654;-83.82631;-5;1;41.991654,-83.82631
48608;Saginaw;MI;43.348535;-84.032612;-5;1;43.348535,-84.032612
48895;Williamston;MI;42.68669;-84.27844;-5;1;42.68669,-84.27844
49127;Stevensville;MI;42.015092;-86.51351;-5;1;42.015092,-86.51351
